Date, Open, High, Low, Close, Volume
04/06/21, 37.05, 37.05, 36.40, 36.75, 2456300
04/01/21, 36.50, 37.30, 36.15, 37.05, 7286500
03/31/21, 37.25, 37.25, 35.80, 36.25, 14718400
03/30/21, 37.70, 38.00, 36.95, 37.35, 16954900
03/29/21, 38.00, 38.45, 37.40, 37.60, 8527800
03/26/21, 38.50, 39.00, 38.50, 38.75, 3904500
03/25/21, 39.50, 39.95, 38.90, 39.50, 2262900
03/24/21, 39.75, 39.75, 39.00, 39.45, 8307800
03/23/21, 39.05, 39.50, 39.05, 39.45, 8991700
03/22/21, 38.70, 39.25, 38.50, 38.90, 7901600
03/19/21, 38.25, 39.00, 38.20, 38.60, 3192500
03/18/21, 37.65, 38.40, 37.60, 38.10, 1857800
03/17/21, 37.50, 38.00, 37.40, 37.55, 232900
03/16/21, 37.40, 38.00, 37.00, 37.40, 8374200
03/15/21, 37.10, 37.50, 37.05, 37.35, 7024800
03/12/21, 37.50, 37.50, 36.75, 37.10, 3094100
03/11/21, 37.70, 38.10, 36.95, 37.55, 9576300
03/10/21, 36.30, 38.50, 36.30, 37.55, 15450500
03/09/21, 36.00, 36.90, 35.50, 36.15, 7272100
03/08/21, 37.70, 37.70, 35.50, 35.90, 8741900
03/05/21, 37.45, 38.00, 37.00, 37.30, 2917100
03/04/21, 38.00, 38.00, 37.05, 37.85, 11565600
03/03/21, 38.70, 38.95, 37.50, 38.00, 1498800
03/02/21, 38.55, 38.75, 38.00, 38.60, 10457400
03/01/21, 38.50, 39.00, 38.10, 38.70, 5745000
02/26/21, 38.90, 39.00, 38.10, 38.75, 4880400
02/25/21, 38.90, 39.00, 38.70, 39.00, 5449000
02/24/21, 38.80, 39.00, 38.55, 39.00, 9979400
02/23/21, 38.55, 39.25, 38.55, 39.00, 21385900
02/22/21, 39.00, 39.05, 38.00, 38.90, 12603100
02/19/21, 38.50, 38.95, 38.45, 38.75, 7395700
02/18/21, 38.55, 38.90, 38.10, 38.45, 2235000
02/17/21, 38.60, 38.90, 38.35, 38.75, 7737700
02/16/21, 39.00, 39.00, 38.25, 38.50, 5197800
02/15/21, 39.25, 39.25, 38.55, 39.05, 6090000
