Date,Mean
23-11-2021,112.2882
22-11-2021,112.2529
19-11-2021,112.1824
18-11-2021,112.1088
17-11-2021,112.0118
16-11-2021,111.9735
15-11-2021,111.9118
12-11-2021,111.8147
11-11-2021,111.7735
10-11-2021,111.7
09-11-2021,111.6541
08-11-2021,111.5941
05-11-2021,111.5471
04-11-2021,111.4382
03-11-2021,111.3559
02-11-2021,111.2941
01-11-2021,111.2441
29-10-2021,111.2147
28-10-2021,111.1529
27-10-2021,111.1471
26-10-2021,111.1265
25-10-2021,111.0853
22-10-2021,111.0559
21-10-2021,111.0176
19-10-2021,110.9118
18-10-2021,110.8941
15-10-2021,110.8676
14-10-2021,110.8106
13-10-2021,110.7694
12-10-2021,110.7371
08-10-2021,110.7165
07-10-2021,110.6929
06-10-2021,110.6194
05-10-2021,110.5529
04-10-2021,110.5088
01-10-2021,110.4947
30-09-2021,110.4859
29-09-2021,110.4494
28-09-2021,110.4018
27-09-2021,110.3824
24-09-2021,110.3765
23-09-2021,110.3882
22-09-2021,110.2765
21-09-2021,110.1971
20-09-2021,110.1659
17-09-2021,110.0941
16-09-2021,110.0294
15-09-2021,109.9441
14-09-2021,109.8529
13-09-2021,109.8676
10-09-2021,109.8735
09-09-2021,110.0988
08-09-2021,110.08
07-09-2021,110.0512
06-09-2021,110.0306
03-09-2021,109.9865
02-09-2021,109.9335
01-09-2021,109.8894
31-08-2021,109.8718
30-08-2021,109.8182
27-08-2021,109.7776
26-08-2021,109.7059
25-08-2021,109.6324
24-08-2021,109.5982
23-08-2021,109.5529
20-08-2021,109.5324
19-08-2021,109.4853
18-08-2021,109.4176
17-08-2021,109.3588
16-08-2021,109.2559
13-08-2021,109.1971
12-08-2021,109.1353
11-08-2021,109.0176
10-08-2021,108.8382
09-08-2021,108.7688
06-08-2021,108.7241
05-08-2021,108.6735
04-08-2021,108.6471
03-08-2021,108.6324
02-08-2021,108.6265
30-07-2021,108.6088
29-07-2021,108.5912
28-07-2021,108.5206
27-07-2021,108.4941
26-07-2021,108.2941
23-07-2021,108.2
22-07-2021,108.2
21-07-2021,108.2
19-07-2021,108.2
16-07-2021,108.1882
15-07-2021,108.0324
14-07-2021,107.9824
13-07-2021,107.95
12-07-2021,107.95
09-07-2021,107.95
08-07-2021,107.95
07-07-2021,107.95
06-07-2021,107.95
05-07-2021,107.9441
02-07-2021,107.9529
01-07-2021,107.9206
30-06-2021,107.85
29-06-2021,107.7824
28-06-2021,107.75
25-06-2021,107.7529
24-06-2021,107.7706
23-06-2021,107.7971
22-06-2021,107.8
21-06-2021,107.8
18-06-2021,107.8
17-06-2021,107.7971
16-06-2021,107.7706
15-06-2021,107.7935
14-06-2021,107.8006
11-06-2021,107.9
10-06-2021,107.9029
09-06-2021,107.95
08-06-2021,107.9
07-06-2021,107.8382
04-06-2021,107.7997
03-06-2021,107.7324
02-06-2021,107.6941
31-05-2021,107.5912
28-05-2021,107.5382
27-05-2021,107.5735
26-05-2021,107.7353
25-05-2021,108.0235
24-05-2021,108.2382
21-05-2021,108.2294
20-05-2021,107.9235
19-05-2021,107.5224
18-05-2021,107.2824
17-05-2021,107.1735
13-05-2021,107.0235
12-05-2021,106.7971
11-05-2021,106.5382
10-05-2021,106.7353
07-05-2021,106.8588
06-05-2021,106.9794
05-05-2021,107.2559
04-05-2021,107.7147
03-05-2021,107.8441
30-04-2021,107.8441
29-04-2021,107.8382
28-04-2021,107.8471
27-04-2021,108.1
26-04-2021,108.5353
23-04-2021,108.5265
22-04-2021,108.4206
21-04-2021,108.1118
20-04-2021,107.9488
19-04-2021,107.4929
16-04-2021,107.06
15-04-2021,106.8059
14-04-2021,106.8971
13-04-2021,107.1
12-04-2021,107.2882
09-04-2021,107.9706
08-04-2021,108.2412
07-04-2021,108.6029
06-04-2021,108.9218
01-04-2021,109.35
31-03-2021,109.5118
30-03-2021,109.7176
29-03-2021,109.7529
26-03-2021,109.7853
25-03-2021,109.8147
24-03-2021,109.85
23-03-2021,109.8588
22-03-2021,109.8559
19-03-2021,109.8576
18-03-2021,109.7971
17-03-2021,109.6941
16-03-2021,109.6547
15-03-2021,109.6488
12-03-2021,109.6488
11-03-2021,109.6488
10-03-2021,109.6488
09-03-2021,109.6488
08-03-2021,109.64
05-03-2021,109.6518
04-03-2021,109.6941
03-03-2021,109.8
02-03-2021,109.8
01-03-2021,109.8029
26-02-2021,109.8
25-02-2021,109.7676
24-02-2021,109.7015
23-02-2021,109.6
22-02-2021,109.5971
19-02-2021,109.55
18-02-2021,109.5471
17-02-2021,109.4588
16-02-2021,109.45
15-02-2021,109.4471
12-02-2021,109.4429
11-02-2021,109.4512
10-02-2021,109.5518
09-02-2021,109.6441
08-02-2021,109.6559
05-02-2021,109.8206
04-02-2021,109.8647
03-02-2021,110.0071
02-02-2021,110.1471
01-02-2021,110.15
29-01-2021,110.1441
28-01-2021,110.1482
27-01-2021,110.1
26-01-2021,110.0941
25-01-2021,110.0235
22-01-2021,109.8088
21-01-2021,110.1853
20-01-2021,110.1829
19-01-2021,110.1029
18-01-2021,110.0729
15-01-2021,110.1
14-01-2021,109.9706
13-01-2021,109.6682
12-01-2021,109.5471
11-01-2021,109.55
08-01-2021,109.55
07-01-2021,109.4718
06-01-2021,109.3794
05-01-2021,109.2853
04-01-2021,109.2165
31-12-2020,109.1718
30-12-2020,109.0353
29-12-2020,108.7694
28-12-2020,108.7676
24-12-2020,108.7882
23-12-2020,109.4441
22-12-2020,111.0382
21-12-2020,111.4453
18-12-2020,111.5718
17-12-2020,111.5912
16-12-2020,111.5871
15-12-2020,111.5635
14-12-2020,111.5276
11-12-2020,111.4812
10-12-2020,111.4388
09-12-2020,111.41
08-12-2020,111.3971
07-12-2020,111.1318
04-12-2020,111.0618
03-12-2020,110.6694
02-12-2020,110.0959
01-12-2020,110.0712
30-11-2020,110.0535
27-11-2020,109.9847
26-11-2020,109.86
25-11-2020,109.7194
24-11-2020,109.54
23-11-2020,109.4547
20-11-2020,109.3924
19-11-2020,109.3188
18-11-2020,109.26
17-11-2020,109.2335
16-11-2020,109.2015
13-11-2020,109.1118
12-11-2020,109.0341
11-11-2020,108.9665
10-11-2020,108.9347
09-11-2020,108.9182
06-11-2020,108.9059
05-11-2020,108.8682
04-11-2020,108.8647
03-11-2020,108.8382
02-11-2020,108.8324
30-10-2020,108.8188
29-10-2020,108.8265
28-10-2020,108.8353
27-10-2020,108.8265
26-10-2020,108.7882
23-10-2020,108.7735
22-10-2020,108.7482
21-10-2020,108.7185
19-10-2020,108.6765
16-10-2020,108.6224
15-10-2020,108.6053
14-10-2020,108.5853
13-10-2020,108.5497
12-10-2020,108.5262
09-10-2020,108.5168
08-10-2020,108.5294
07-10-2020,108.5276
06-10-2020,108.5026
05-10-2020,108.4921
02-10-2020,108.4853
01-10-2020,108.4471
30-09-2020,108.4971
29-09-2020,108.4879
28-09-2020,108.4779
25-09-2020,108.4691
24-09-2020,108.4126
23-09-2020,108.4176
22-09-2020,108.3618
21-09-2020,108.4
18-09-2020,108.3912
17-09-2020,108.3794
16-09-2020,108.6379
15-09-2020,108.5559
14-09-2020,108.5
11-09-2020,108.4488
10-09-2020,108.3971
09-09-2020,108.3735
08-09-2020,108.3353
07-09-2020,108.3282
04-09-2020,108.3224
03-09-2020,108.3029
02-09-2020,108.2615
01-09-2020,108.2147
31-08-2020,108.2088
28-08-2020,108.2221
27-08-2020,108.1529
26-08-2020,108.1203
25-08-2020,108.0379
24-08-2020,108.0147
21-08-2020,108.0088
20-08-2020,108.5588
19-08-2020,108.4206
18-08-2020,108.3129
17-08-2020,108.3185
14-08-2020,108.2897
13-08-2020,108.3918
12-08-2020,108.3329
11-08-2020,108.1162
10-08-2020,108.0294
07-08-2020,108.0024
06-08-2020,107.9459
